lat,lon,name,is_city,is_feasible_location,is_existing_charger,n_chargers,mean_power_kw,x_built,c_built,p_built_kw,wq_minutes,lambda_k
37.11906,-3.584,Zubia,1,0,0,0,0.0,0,0,0,0.0,0.0
38.42539,-6.41734,Zafra,1,0,0,0,0.0,0,0,0,0.0,0.0
38.61365,-1.11468,Yecla,1,0,0,0,0.0,0,0,0,0.0,0.0
38.6373,-0.86568,Villena,1,0,0,0,0.0,0,0,0,0.0,0.0
39.22085,-3.60802,Villarrubia de los Ojos,1,0,0,0,0.0,0,0,0,0.0,0.0
39.26992,-2.60119,Villarrobledo,1,0,0,0,0.0,0,0,0,0.0,0.0
39.9383,-0.10087,Vila-real,1,0,0,0,0.0,0,0,0,0.0,0.0
38.97655,-5.7974,Villanueva de la Serena,1,0,0,0,0.0,0,0,0,0.0,0.0
38.32277,-4.62873,Villanueva de Córdoba,1,0,0,0,0.0,0,0,0,0.0,0.0
36.85979,-5.64485,Villamartín,1,0,0,0,0.0,0,0,0,0.0,0.0
38.50754,-0.23346,Villajoyosa,1,0,0,0,0.0,0,0,0,0.0,0.0
38.1156,-3.0848,Villacarrillo,1,0,0,0,0.0,0,0,0,0.0,0.0
39.62367,-3.33813,Villacañas,1,0,0,0,0.0,0,0,0,0.0,0.0
36.83155,-2.64273,Vícar,1,0,0,0,0.0,0,0,0,0.0,0.0
37.24345,-1.85905,Vera,1,0,0,0,0.0,0,0,0,0.0,0.0
36.78107,-4.10266,Vélez-Málaga,1,0,0,0,0.0,0,0,0,0.0,0.0
36.25213,-5.96717,Vejer de la Frontera,1,0,0,0,0.0,0,0,0,0.0,0.0
37.57511,-6.75432,Valverde del Camino,1,0,0,0,0.0,0,0,0,0.0,0.0
39.47391,-0.37966,Valencia,1,0,0,0,0.0,0,0,0,0.0,0.0
38.76211,-3.38483,Valdepeñas,1,0,0,0,0.0,0,0,0,0.0,0.0
37.18516,-5.78093,Utrera,1,0,0,0,0.0,0,0,0,0.0,0.0
39.56667,-1.2,Utiel,1,0,0,0,0.0,0,0,0,0.0,0.0
36.67777,-5.446,Ubrique,1,0,0,0,0.0,0,0,0,0.0,0.0
38.01328,-3.3705,Úbeda,1,0,0,0,0.0,0,0,0,0.0,0.0
37.7688,-1.50229,Totana,1,0,0,0,0.0,0,0,0,0.0,0.0
39.98195,-4.28349,Torrijos,1,0,0,0,0.0,0,0,0,0.0,0.0
37.97872,-0.68222,Torrevieja,1,0,0,0,0.0,0,0,0,0.0,0.0
37.74293,-0.95396,Torre-Pacheco,1,0,0,0,0.0,0,0,0,0.0,0.0
36.62035,-4.49976,Torremolinos,1,0,0,0,0.0,0,0,0,0.0,0.0
37.76748,-3.95776,Torredonjimeno,1,0,0,0,0.0,0,0,0,0.0,0.0
39.15759,-3.02156,Tomelloso,1,0,0,0,0.0,0,0,0,0.0,0.0
37.37281,-6.04589,Tomares,1,0,0,0,0.0,0,0,0,0.0,0.0
39.8581,-4.02263,Toledo,1,0,0,0,0.0,0,0,0,0.0,0.0
38.7294,0.10383,Teulada,1,0,0,0,0.0,0,0,0,0.0,0.0
36.01393,-5.60695,Tarifa,1,0,0,0,0.0,0,0,0,0.0,0.0
39.96348,-4.83076,Talavera de la Reina,1,0,0,0,0.0,0,0,0,0.0,0.0
39.07195,-0.26623,Tavernes de la Valldigna,1,0,0,0,0.0,0,0,0,0.0,0.0
39.67747,-3.97448,Sonseca,1,0,0,0,0.0,0,0,0,0.0,0.0
38.3964,-0.5255,San Vicent del Raspeig,1,0,0,0,0.0,0,0,0,0.0,0.0
38.06147,-1.04877,Santomera,1,0,0,0,0.0,0,0,0,0.0,0.0
38.19165,-0.5658,Santa Pola,1,0,0,0,0.0,0,0,0,0.0,0.0
36.20983,-5.38452,San Roque,1,0,0,0,0.0,0,0,0,0.0,0.0
36.48839,-4.99123,San Pedro Alcántara,1,0,0,0,0.0,0,0,0,0.0,0.0
36.77808,-6.3515,Sanlúcar de Barrameda,1,0,0,0,0.0,0,0,0,0.0,0.0
36.4759,-6.19817,San Fernando,1,0,0,0,0.0,0,0,0,0.0,0.0
36.74277,-3.58717,Salobreña,1,0,0,0,0.0,0,0,0,0.0,0.0
39.68333,-0.26667,Sagunto,1,0,0,0,0.0,0,0,0,0.0,0.0
37.3269,-4.36827,Rute,1,0,0,0,0.0,0,0,0,0.0,0.0
36.74231,-5.16709,Ronda,1,0,0,0,0.0,0,0,0,0.0,0.0
39.59369,-3.04165,Quintanar de la Orden,1,0,0,0,0.0,0,0,0,0.0,0.0
38.68712,-4.10734,Puertollano,1,0,0,0,0.0,0,0,0,0.0,0.0
37.38943,-4.76686,Puente-Genil,1,0,0,0,0.0,0,0,0,0.0,0.0
39.59747,-0.55468,La Pobla de Vallbona,1,0,0,0,0.0,0,0,0,0.0,0.0
38.37906,-4.84827,Pozoblanco,1,0,0,0,0.0,0,0,0,0.0,0.0
37.25109,-3.74967,Pinos Puente,1,0,0,0,0.0,0,0,0,0.0,0.0
37.30337,-6.30097,Pilas,1,0,0,0,0.0,0,0,0,0.0,0.0
38.3,-5.26667,Peñarroya-Pueblonuevo,1,0,0,0,0.0,0,0,0,0.0,0.0
37.23457,-6.89471,Palos de la Frontera,1,0,0,0,0.0,0,0,0,0.0,0.0
37.70024,-5.28121,Palma del Río,1,0,0,0,0.0,0,0,0,0.0,0.0
